DBH,H,BA,VUB
18.1,25.1,0.026,0.26
36.6,34.1,0.105,1.44
9.4,21.4,0.007,0.06
23.1,21.6,0.042,0.38
14,18.9,0.015,0.12
14.7,20,0.017,0.14
33.7,19.6,0.089,0.73
35.7,30.1,0.1,1.22
30,31.8,0.071,0.9
31,33.9,0.075,1.02
31.7,35.6,0.079,1.12
25.3,30.9,0.05,0.62
26,14.7,0.053,0.34
37.9,29.5,0.113,1.35
24.1,35.8,0.046,0.65
29,32.1,0.066,0.85
17.4,17.6,0.024,0.18
21.2,20.9,0.035,0.31
11.7,18.3,0.011,0.08
41.5,36.7,0.135,1.98
28.8,32.6,0.065,0.85
34.4,28.3,0.093,1.07
25.3,20.4,0.05,0.43
23.6,20.7,0.044,0.38
21,13.9,0.035,0.21
24.6,23.4,0.048,0.46
27.8,20.2,0.061,0.51
20.3,16.9,0.032,0.23
24.3,28.4,0.046,0.53
28.1,20.6,0.062,0.53
16.6,20,0.022,0.18
18.9,18.6,0.028,0.22
35,23.8,0.096,0.94
11.8,14.9,0.011,0.07
23.8,17.6,0.044,0.33
12.6,13.7,0.012,0.07
23,22.4,0.042,0.38
32.1,19.7,0.081,0.67
35.6,22,0.1,0.91
28.1,20.5,0.062,0.53
10.8,16.3,0.009,0.06
24.7,25.8,0.048,0.5
20.4,20.6,0.033,0.28
11,20.2,0.01,0.08
17.2,19.2,0.023,0.19
31.7,35.5,0.079,1.12
23.3,30,0.043,0.51
17.7,21.3,0.025,0.22
17.3,22.2,0.024,0.22
14.6,21.4,0.017,0.15
19.2,21.6,0.029,0.26
23.7,28.7,0.044,0.51
34.3,34.6,0.092,1.28
24.7,28.1,0.048,0.54
31.1,25.9,0.076,0.8
20.8,26.2,0.034,0.36
16,22.3,0.02,0.18
25.7,21.5,0.052,0.46
24.5,23.6,0.047,0.46
23.1,15.6,0.042,0.28
20.5,25.7,0.033,0.35
25.7,18.6,0.052,0.41
26,30.1,0.053,0.64
36.8,34.6,0.106,1.47
12.8,20.7,0.013,0.11
15.1,19.1,0.018,0.14
14.1,16.2,0.016,0.11
19.7,15.3,0.03,0.2
31,27.1,0.075,0.83
35.1,36.6,0.097,1.41
27.3,31.6,0.059,0.74
30,34.4,0.071,0.97
31.7,32.4,0.079,1.03
13.7,16.6,0.015,0.1
27.8,26.4,0.061,0.65
28.6,30.1,0.064,0.78
25.7,27.8,0.052,0.58
28.3,30.6,0.063,0.77
10.4,17.6,0.008,0.06
16.6,15.4,0.022,0.14
30.3,32.5,0.072,0.94
27.3,15.3,0.059,0.38
24.9,17.3,0.049,0.36
23.7,27.5,0.044,0.49
26.3,15.2,0.054,0.35
11,10.9,0.01,0.05
24,23.4,0.045,0.44
7.9,9.3,0.005,0.02
14.1,19,0.016,0.12
25,17.3,0.049,0.36
14,15.7,0.015,0.1
29.7,27.4,0.069,0.77
34.5,30.3,0.093,1.14
14.2,21.5,0.016,0.141
25.1,28.5,0.049,0.57
22.4,27.7,0.039,0.442
20.8,30.2,0.034,0.411
24.6,29.9,0.048,0.571
22.7,21.3,0.04,0.358
22.9,30.2,0.041,0.499
17.1,21.6,0.023,0.205
24.5,30.8,0.047,0.582
15.4,25.6,0.019,0.194
20.1,29.9,0.032,0.38
20.2,28.4,0.032,0.367
21.8,30.7,0.037,0.459
25.8,31.1,0.052,0.652
14,19.6,0.015,0.126
12.4,18,0.012,0.092
28.3,30.2,0.063,0.765
11.1,19.4,0.01,0.079
26,27.1,0.053,0.584
22.5,26.4,0.04,0.427
22.1,27.3,0.038,0.424
25.8,29.4,0.052,0.619
21.8,20.5,0.037,0.32
13.7,13.9,0.015,0.09
9.1,14.5,0.007,0.04
11.3,12.4,0.01,0.06
23.7,23.1,0.044,0.42
15.3,16.1,0.018,0.13
15.3,16.4,0.018,0.13
21.5,20.3,0.036,0.31
21.5,19.6,0.036,0.3
18.5,23.1,0.027,0.26
27.4,22.2,0.059,0.54
14.4,19.3,0.016,0.13
19.2,19.7,0.029,0.24
13.9,20.2,0.015,0.13
20.3,22.6,0.032,0.3
9.8,16.5,0.008,0.05
19.7,22.9,0.03,0.29
18.6,17.7,0.027,0.2
13.4,18,0.014,0.11
14.3,16.8,0.016,0.12
19.7,22.1,0.03,0.28
12.1,21.2,0.011,0.1
20.6,22.7,0.033,0.31
23,24.2,0.042,0.41
18.5,21.7,0.027,0.24
24.1,26,0.046,0.48
21.7,26.2,0.037,0.39
11.5,14.1,0.01,0.06
12.5,17.1,0.012,0.09
14,18.7,0.015,0.12
9.4,17.3,0.007,0.05
16.2,20.4,0.021,0.18
12.3,17.3,0.012,0.09
11.3,18.5,0.01,0.08
9.2,14.2,0.007,0.04
24.2,23.2,0.046,0.44
22.1,23.2,0.038,0.37
21.9,22.8,0.038,0.35
29.1,26.2,0.067,0.71
21.3,27.2,0.036,0.39
18.5,12.7,0.027,0.15
9.4,16.1,0.007,0.05
9.3,16.8,0.007,0.05
13.8,10.9,0.015,0.07
22.1,24.9,0.038,0.39
18.4,8.8,0.027,0.11
10.3,15.3,0.008,0.06
17.1,19.9,0.023,0.19
13.1,21.1,0.013,0.12
18.5,19.3,0.027,0.22
14.9,19.2,0.017,0.14
7.9,7.2,0.005,0.02
14.9,18.2,0.017,0.13
11.6,13.7,0.011,0.06
17.4,16,0.024,0.16
15.6,17.1,0.019,0.14
14.7,16.6,0.017,0.12
13.2,16.1,0.014,0.09
9.9,15,0.008,0.05
13.6,18.6,0.015,0.11
10.3,18.2,0.008,0.06
14.4,19.8,0.016,0.14
16.5,20.8,0.021,0.19
7.9,15.7,0.005,0.03
8.5,10.2,0.006,0.03
9.9,12.2,0.008,0.04
15.8,24.6,0.02,0.2
13.3,20.1,0.014,0.12
9.8,9.9,0.008,0.03
18.6,20.3,0.027,0.23
14.4,19.1,0.016,0.13
14.4,22.4,0.016,0.15
13.2,18.6,0.014,0.11
24.1,25.2,0.046,0.47
21.1,28,0.035,0.4
14.7,21.3,0.017,0.15
16.7,17.8,0.022,0.17
19.7,26.8,0.03,0.33
28.1,25.6,0.062,0.65
24,24.8,0.045,0.46
19.1,24.4,0.029,0.29
23.2,27.6,0.042,0.47
18.8,24.4,0.028,0.28
20.5,26.2,0.033,0.35
14.4,27.6,0.016,0.18
18.6,24.7,0.027,0.27
10.6,13.2,0.009,0.05
24.7,22.3,0.048,0.44
20.5,28.9,0.033,0.38
25.7,31.3,0.052,0.65
14.9,21.5,0.017,0.16
26.6,32.4,0.056,0.72
14.4,20,0.016,0.14
15.4,26.5,0.019,0.2
25.3,29.6,0.05,0.6
27.1,30.6,0.058,0.71
19.3,28,0.029,0.33
21.1,31.5,0.035,0.44
21,29,0.035,0.4
13.5,21.2,0.014,0.13
25.2,31.4,0.05,0.63
17.5,29.4,0.024,0.28
16.3,22.9,0.021,0.2
22.9,30.1,0.041,0.5
28.6,31.5,0.064,0.81
3.2,16.9,0.001,0.01
18.3,21.7,0.026,0.24
11.1,19.1,0.01,0.08
10.3,12,0.008,0.04
17.7,20.2,0.025,0.21
10.6,20.3,0.009,0.08
10.4,16.7,0.008,0.06
17.9,22.5,0.025,0.23
19.2,21.8,0.029,0.26
10.7,12.5,0.009,0.05
18.4,23.5,0.027,0.26
15.1,24.6,0.018,0.18
13.4,23.9,0.014,0.14
15.6,22.8,0.019,0.18
19.4,22.3,0.03,0.27
15.9,20,0.02,0.17
18.2,26.6,0.026,0.28
11,10.4,0.01,0.05
21.2,29.3,0.035,0.42
10.2,21,0.008,0.07
14.4,12.1,0.016,0.09
14.1,20.2,0.016,0.13
26.3,33.2,0.054,0.72
8.1,13.7,0.005,0.03
15.4,23.1,0.019,0.18
17.5,15.9,0.024,0.16
27,26.2,0.057,0.61
27,26.1,0.057,0.61
14.6,18.4,0.017,0.13
24.9,18.7,0.049,0.38
23.7,27.5,0.044,0.49
23.2,23.1,0.042,0.4
16.9,21.9,0.022,0.2
19.4,28.2,0.03,0.34
21.5,26.2,0.036,0.39
25.5,22.2,0.051,0.47
13.9,19.1,0.015,0.12
17.9,25.9,0.025,0.27
15.9,18.2,0.02,0.15
12.9,18.1,0.013,0.1
16.6,18.4,0.022,0.17
14.9,25.2,0.017,0.18
26.1,27.5,0.054,0.6
13.9,21.6,0.015,0.14
20.1,25.2,0.032,0.33
12.8,20.3,0.013,0.11
18.8,30.3,0.028,0.34
11.3,17.3,0.01,0.07
25.3,25.6,0.05,0.53
19.8,25.4,0.031,0.32
17.8,23.2,0.025,0.24
20.6,23.6,0.033,0.32
11.4,19.9,0.01,0.09
19,21,0.028,0.25
18.3,24.2,0.026,0.26
16.1,19.7,0.02,0.17
11.8,18.2,0.011,0.08
11.3,16,0.01,0.07
10.4,14.2,0.008,0.05
15.9,21.7,0.02,0.18
19.3,20.6,0.029,0.25
18.6,20.6,0.027,0.23
19,19.8,0.028,0.24
17.4,24.5,0.024,0.24
18.4,24.2,0.027,0.26
11.1,14.8,0.01,0.06
6.3,11.3,0.003,0.02
5.6,9.8,0.002,0.01
19.7,26.1,0.03,0.32
21.7,30.1,0.037,0.45
20.3,28.1,0.032,0.37
19,27.9,0.028,0.32
20.5,29.8,0.033,0.39
13.9,17.5,0.015,0.11
28.3,24.8,0.063,0.64
26.7,19.2,0.056,0.45
22,26,0.038,0.4
20.1,5.7,0.032,0.1
25.2,28.7,0.05,0.58
19.6,23.7,0.03,0.29
21.2,19.3,0.035,0.29
15.4,19.4,0.019,0.15
6.9,10.5,0.004,0.02
20.9,26.2,0.034,0.37
25.6,27.9,0.051,0.58
8,12,0.005,0.03
21,16.6,0.035,0.24
10,13.9,0.008,0.05
21,22.5,0.035,0.32
20.8,19.4,0.034,0.28
11.6,15.2,0.011,0.07
27.4,27.4,0.059,0.66
21.7,22.8,0.037,0.35
7.8,22.8,0.005,0.05
17.8,26.7,0.025,0.27
16.1,9.7,0.02,0.09
9.1,13,0.007,0.04
9,13,0.006,0.04
26.1,25.9,0.054,0.57
8.4,11.4,0.006,0.03
14.8,18.9,0.017,0.14
27.5,29.5,0.059,0.71
23.1,25,0.042,0.43
19,25.8,0.028,0.3
15.3,19.7,0.018,0.15
23,25.3,0.042,0.43
25.4,27.8,0.051,0.57
20.1,19.8,0.032,0.26
12.1,15.4,0.011,0.08
20.2,18.9,0.032,0.25
16,18.3,0.02,0.16
12.8,15.3,0.013,0.09
18.4,10,0.027,0.12
17.2,19.8,0.023,0.19
19.2,23.7,0.029,0.28
23.4,21.1,0.043,0.38
18.4,26.5,0.027,0.29
16,21.5,0.02,0.18
18.8,22.6,0.028,0.26
21.2,13.1,0.035,0.2
7.3,12.6,0.004,0.02
20.1,24.3,0.032,0.32
19.7,18.9,0.03,0.24
20.7,22.9,0.034,0.32
25.1,29.1,0.049,0.58
23.1,22.3,0.042,0.39
20.4,25.3,0.033,0.34
17.8,24.1,0.025,0.25
20.3,25.1,0.032,0.33
24.2,26.4,0.046,0.49
29.8,26.4,0.07,0.75
